code3,eccv_oit,informal,formal,lpo
ARG,52.9,47,53,28.037
BOL,NA,75.6,24.400000000000006,NA
BRA,70.5,42.5,57.5,40.5375
CHL,17.6,39.3,60.7,10.683200000000001
COL,14.5,55.4,44.6,6.4670000000000005
CRI,9.3,37.4,62.6,5.8218000000000005
DOM,NA,52.6,47.4,NA
ECU,NA,50.4,49.6,NA
SLV,4.3,63.1,36.9,1.5866999999999998
GTM,NA,72.7,27.299999999999997,NA
HND,5.6,72.7,27.299999999999997,1.5287999999999997
MEX,9.8,53.2,46.8,4.5864
NIC,7.6,68.6,31.400000000000006,2.3864000000000005
PAN,1.3,46,54,0.7020000000000001
PRY,0.7,64.4,35.599999999999994,0.24919999999999995
PER,5.6,59.1,40.9,2.2903999999999995
URY,94.7,24.1,75.9,71.8773
VEN,2.5,38.3,61.7,1.5425
