"","code3","pais_nom","2010","2011","2013","2015"
"1","ARG","Argentina",23.866355395303,28.1191404365152,25.4308407127188,22.4317116864777
"2","BOL","Bolivia",18.0833333333333,19.5,11.3333333333333,19.5833333333333
"3","BRA","Brasil",10.0498338870432,8.55481727574751,4.65116279069767,7.36
"4","CHL","Chile",17.9217399798129,16.5042202376437,11.8458170398282,15.2242620870353
"5","COL","Colombia",20.1980435476807,19.0235155998435,15.150913896605,16.6511439985658
"6","CRI","Costa Rica",18.6,17.6,14.8,10.5
"7","DOM","Rep. Dominicana",30.9406817586339,35.3908655050944,16.1591115302455,12.6485714427
"8","ECU","Ecuador",16.5833333333333,24,13.3333333333333,21.3333333333333
"9","SLV","El Salvador",25.4936673187868,27.9598318236033,20.5086609671861,17.2135469988542
"10","GTM","Guatemala",18.3267375396339,20.2865591511884,14.0186319780785,16.0065161453195
"11","HND","Honduras",21.5180837117687,32.812108714686,19.0454324233726,14.7085380106457
"12","MEX","México",26.1666666666667,23.0833333333333,17.6666666666667,16
"13","NIC","Nicaragua",16.4738999663497,15.2797519848463,23.7472396536589,16.1649196534424
"14","PAN","Panamá",21,21.4,18.3,22.4
"15","PRY","Paraguay",13.5416666666667,21.9562955254943,10.1458333333333,17.8841886345054
"16","PER","Perú",14,17.5,13.25,17.6666666666667
"17","URY","Uruguay",30.25,22,20.5833333333333,21.5833333333333
"18","VEN","Venezuela",23.6971206491873,25.1728782679231,21.25,14.5833333333333
