code3,nomes,lf1,lf2,lf3,lf4,volunteer,donated,humanit,lpe1,lpe2,lpe1_alt,eccv_oit,informal,formal,lpo,lc1,lc2,slf1,slf2,slf3,slf4,slpe1,slpe2,slpe1_alt,slpo,slc1,slc2,ind_lf,ind_lpe,ind_lpe_alt,ind_lpo,ind_lc
ARG,Argentina,30.11859,37.667230000000004,36.19755,37.79145,20,17,6.3,6.3,17,20,52.9,47,53,28.037,25,31.7,0.7432630674548313,0.2908218730253541,0.21923954511853785,0.14818288729426085,0.4078947368421052,0.21428571428571427,0.25,0.3879455130039747,1,0.4309859154929578,0.35037684322324597,0.31109022556390975,0.23214285714285715,0.3879455130039747,0.7154929577464789
BOL,Bolivia,23.10413,41.34919,43.64663,57.46887,21,24,NA,NA,24,21,NA,75.6,24.400000000000006,NA,17.1,25,0.020639872091513932,0.4277601716470673,0.4323387855333231,0.5748258079959203,NA,0.4642857142857143,0.2857142857142857,NA,0.5433526011560694,0.2422535211267606,0.36389115931695615,NA,0.375,NA,0.392803061141415
BRA,Brasil,28.11486,34.44915,48.9648,49.89509,18,30,10.4,10.4,30,18,70.5,42.5,57.5,40.5375,7.7,40.7,0.5368406521519654,0.171136053508422,0.5844781084291301,0.4106122261365194,0.9473684210526315,0.6785714285714286,0.17857142857142858,0.5624650102403944,0,0.6845070422535212,0.42576676005650915,0.8129699248120301,0.4285714285714286,0.5624650102403944,0.3422535211267606
CHL,Chile,29.24638,47.69307,47.34297,57.33257,16,39,5.8,5.8,39,16,17.6,39.3,60.7,10.683200000000001,15.4,25,0.6534087982412581,0.6636997619360206,0.538081675435806,0.5718705714815989,0.3421052631578947,1,0.10714285714285714,0.14566908796966554,0.44508670520231214,0.2422535211267606,0.6067652017736709,0.6710526315789473,0.5535714285714286,0.14566908796966554,0.3436701131645364
COL,Colombia,29.25031,45.58575,58.57119,69.35502,19,21,7.8,7.8,21,19,14.5,55.4,44.6,6.4670000000000005,17.8,28.3,0.6538136632141538,0.5853249790889747,0.8592925032440857,0.8325395607083199,0.6052631578947367,0.35714285714285715,0.21428571428571427,0.08680671412476389,0.5838150289017342,0.33521126760563386,0.7327426765638835,0.48120300751879697,0.2857142857142857,0.08680671412476389,0.45951314825368406
CRI,Costa Rica,32.61072,38.83442,51.33657,53.74392,23,27,NA,NA,27,23,9.3,37.4,62.6,5.8218000000000005,15.4,42.6,1,0.33423163651226795,0.6523284181906813,0.4940619910185094,NA,0.5714285714285714,0.35714285714285715,0.0777990760609314,0.44508670520231214,0.7380281690140846,0.6201555114303646,NA,0.4642857142857143,0.0777990760609314,0.5915574371081984
DOM,Rep. Dominicana,24.9767,34.68175,50.64391,61.22549,37,25,NA,NA,25,37,NA,52.6,47.4,NA,23.8,31.6,0.21355030524552537,0.1797868395732924,0.6325131765949801,0.6562762892463214,NA,0.5,0.8571428571428571,NA,0.930635838150289,0.42816901408450714,0.42053165266502984,NA,0.6785714285714286,NA,0.6794024261173981
ECU,Ecuador,25.19935,34.95289,50.0947,56.73167,16,18,3.4,3.4,18,16,NA,50.4,49.6,NA,18.8,33.4,0.2364875027557601,0.189870993200244,0.616801674794999,0.5588419462324745,0.026315789473684174,0.25,0.10714285714285714,NA,0.6416184971098267,0.4788732394366197,0.40050052924586943,0.1381578947368421,0.17857142857142858,NA,0.5602458682732232
SLV,El Salvador,31.63557,29.84769,53.97055,65.47641,28,11,NA,NA,11,28,4.3,63.1,36.9,1.5866999999999998,22.8,23.1,0.8995409469925641,0,0.7276798894150118,0.7484441102548224,NA,0,0.5357142857142857,0.018672839290725284,0.8728323699421966,0.18873239436619726,0.5939162366655996,NA,0.26785714285714285,0.018672839290725284,0.5307823821541969
GTM,Guatemala,25.35512,45.98765,63.48975,72.63867,36,32,NA,NA,32,36,NA,72.7,27.299999999999997,NA,17.2,20.3,0.25253478439137345,0.6002723175217842,1,0.9037351761173525,NA,0.75,0.8214285714285714,NA,0.5491329479768786,0.10985915492957753,0.6891355695076276,NA,0.7857142857142857,NA,0.3294960514532281
HND,Honduras,22.90378,35.37264,60.87186,75.93905,41,14,NA,NA,14,41,5.6,72.7,27.299999999999997,1.5287999999999997,22,23.5,0,0.20548220322057673,0.9251088227687899,0.9752935289209893,NA,0.10714285714285714,1,0.017864497313205288,0.8265895953757225,0.20000000000000004,0.526471138727589,NA,0.5535714285714286,0.017864497313205288,0.5132947976878612
MEX,México,31.53209,56.73542,55.30586,56.49148,13,18,10.8,10.8,18,13,9.8,53.2,46.8,4.5864,20.7,26.3,0.8888805328970818,1,0.7658797136507922,0.5536341820477729,1,0.25,0,0.06055165500690372,0.7514450867052023,0.2788732394366198,0.8020986071489118,0.625,0.125,0.06055165500690372,0.515159163070911
NIC,Nicaragua,28.47225,40.81356,60.19884,77.07855,23,32,NA,NA,32,23,7.6,68.6,31.400000000000006,2.3864000000000005,17.9,26.7,0.5736586401069749,0.4078391891022412,0.9058554316407633,1,NA,0.75,0.35714285714285715,0.029837452061411657,0.5895953757225433,0.29014084507042254,0.7218383152124949,NA,0.5535714285714286,0.029837452061411657,0.4398681103964829
PAN,Panamá,27.91472,41.03221,53.83129,59.03952,32,35,NA,NA,35,32,1.3,46,54,0.7020000000000001,20.8,31.3,0.5162224140666367,0.4159711511533328,0.7236960148667235,0.6088804098390513,NA,0.8571428571428571,0.6785714285714286,0.006321541406235822,0.7572254335260116,0.419718309859155,0.5661924974814361,NA,0.7678571428571428,0.006321541406235822,0.5884718716925833
PRY,Paraguay,24.58794,33.98735,56.90642,70.98484,19,29,NA,NA,29,19,0.7,64.4,35.599999999999994,0.24919999999999995,15.9,27.3,0.17350060884274535,0.15396093310963774,0.8116676660205194,0.8678770777719381,NA,0.6428571428571429,0.21428571428571427,0,0.4739884393063583,0.3070422535211268,0.5017515714362102,NA,0.4285714285714286,0,0.3905153464137425
PER,Perú,29.47215,43.99462,54.46033,64.65048,26,21,3.6,3.6,21,26,5.6,59.1,40.9,2.2903999999999995,15.6,16.4,0.67666741527196,0.5261481724191666,0.7416912500085822,0.7305364177069619,0.052631578947368404,0.35714285714285715,0.4642857142857143,0.02849719593288108,0.4566473988439306,0,0.6687608138516676,0.20488721804511278,0.4107142857142857,0.02849719593288108,0.2283236994219653
URY,Uruguay,25.56024,37.94917,28.53383,30.95703,21,30,3.2,3.2,30,21,94.7,24.1,75.9,71.8773,23.6,51.9,0.2736660574805242,0.30130769685652165,0,0,0,0.6785714285714286,0.2857142857142857,1,0.9190751445086706,1,0.14374343858426147,0.3392857142857143,0.48214285714285715,1,0.9595375722543353
VEN,Venezuela,30.16666,47.62537,60.38139,74.52728,13,15,NA,NA,15,13,2.5,38.3,61.7,1.5425,21.2,34.8,0.7482151944897155,0.6611818848225566,0.9110777230294611,0.9446837398247065,NA,0.14285714285714285,0,0.018055763031547677,0.7803468208092486,0.5183098591549296,0.81628963554161,NA,0.07142857142857142,0.018055763031547677,0.649328339982089
