Average of madres_pct,Column Labels,,,,
Row Labels,1980,1990,2000,2010,Grand Total
ARG,#DIV/0!,73.9913,71.3236,68.3320,71.2156
BOL,#DIV/0!,82.3393,80.8079,73.0901,78.7458
BRA,76.1727,73.9028,75.3916,67.7490,73.3040
CHL,78.3249,77.9847,74.8073,64.5256,73.9106
COL,#DIV/0!,75.7405,74.0925,68.9372,72.9234
CRI,82.4925,#DIV/0!,79.4045,70.1904,77.3625
DOM,#DIV/0!,#DIV/0!,76.3251,83.1079,79.7165
ECU,82.5143,79.9271,79.1352,78.1190,79.9239
GTM,#DIV/0!,80.8804,81.1689,76.5281,79.5258
HND,79.3340,#DIV/0!,83.0698,81.0766,81.1601
MEX,#DIV/0!,79.5302,78.5642,75.4519,77.8488
NIC,#DIV/0!,88.0237,83.6764,#DIV/0!,85.8500
PAN,#DIV/0!,80.9257,77.8498,76.3884,78.3879
PER,#DIV/0!,78.7305,74.7644,72.1002,75.1984
PRY,80.1290,82.8317,83.2480,#DIV/0!,82.0696
SLV,#DIV/0!,79.2674,79.3130,#DIV/0!,79.2902
URY,73.7689,73.6892,#DIV/0!,64.7293,70.7291
VEN,#DIV/0!,76.8309,76.9319,71.7326,75.1651
Grand Total,78.96233231,78.97303485,78.22787842,72.80388455,77.02340834
